"onshored_patents","N_inv_nonwestern_log","N_inv_anglosaxon_log","N_patents_state_log","N_patents_TechGroup_log","imputed_N_inv_nonwestern_log","imputed_N_inv_anglosaxon_log","regio_tech"
0,1.36521979563403,3.30844409876572,5.85793315448346,8.71948076085107,-5.64807676079457,-1.89748768272225,"AK01"
0,1.2623957696755,3.69555220204627,6.65157187358973,9.09739561296005,-5.07447829911282,-1.52242860871532,"AK01"
1,1.32696145798052,3.82210731193949,7.94093976232779,9.5085913957772,-4.89502564716828,-1.34742139364882,"AK01"
1,2.32477703550355,4.62060407157408,8.52575642207673,9.66332499605232,-4.73562669233367,-1.29508658057671,"AK01"
29,2.01310823188855,3.84526496025733,7.61874237767041,9.52864863796972,-4.58465954124136,-1.52007494792621,"AK01"
1,2.02304920854906,4.95379204779241,8.6383483129727,9.66656196374813,-4.63502805119929,-1.3020091672474,"AK01"
11,2.72648464133342,4.19167902648635,8.22416351263786,9.59185425926183,-4.63808671956501,-1.45195183792998,"AK01"
5,2.62712698882861,3.85056799253377,7.72090525193678,9.58884529850156,-4.46629133837162,-1.47944751674602,"AK01"
1,2.18346756730557,4.24317537278435,7.53583046279837,9.64723954557388,-4.31954617255011,-1.40122105643607,"AK01"
71,2.53376548042021,3.2125271275574,8.22416351263786,9.64296658814672,-5.631063814483,-3.63414481870836,"AK013"
29,2.89279304804709,2.95187769845568,7.53583046279837,9.69566355532975,-5.39398738799043,-3.92302552673958,"AK013"
64,2.02426741204205,2.73794726989933,7.61874237767041,9.47270463644367,-5.673424263542,-3.69984288844199,"AK013"
0,1.97027380465159,2.8697482106427,7.94093976232779,9.28656039788759,-6.00833451820015,-3.72544534733772,"AK013"
48,3.19370627565583,3.20099112374255,7.72090525193678,9.56120848888113,-5.62030535705285,-3.90543273223821,"AK013"
3,2.83032564141562,3.7323208971358,8.6383483129727,9.72454029638112,-5.55468010305971,-3.43434808292447,"AK013"
0,2.46685708336675,3.40612581346026,8.52575642207673,9.63443094420751,-5.40445916915442,-3.48814502236177,"AK013"
7,1.34491828122479,3.93109203431793,8.22416351263786,10.7497849125897,-3.55310943469341,-1.24945272310555,"AK02"
0,1.41800485801242,4.23458387694275,8.52575642207673,10.622278113076,-3.84636144579078,-1.06928420069317,"AK02"
21,2.01249720303201,4.11466264198297,7.53583046279837,11.1603563662156,-3.09773797317015,-0.996979835709033,"AK02"
15,2.25393817015116,3.66322553454603,7.61874237767041,10.7882463367971,-3.68764581218645,-1.38187513785604,"AK02"
19,0.996537120647251,3.73574863373392,7.72090525193678,10.886819920141,-3.43074922372913,-1.28471500299389,"AK02"
0,0.839304937987632,3.1230665634447,6.65157187358973,9.46622213187817,-5.11858517400024,-1.73238984925751,"AK02"
