"";"organization";"country_firm_adj";"classified"
"1";"abb";"SE";"auto"
"2";"abb automation";"SE";"auto"
"3";"abb industrial systems";"SE";"auto"
"4";"advantest america";"JP";"auto"
"5";"agc automotive americas";"JP";"auto"
"6";"agfa gevaert";"BE";"auto"
"7";"alcatel lucent";"FR";"auto"
"8";"alcon";"CH";"auto"
"9";"alcon laboratories";"CH";"auto"
"10";"alcon manufacturing";"CH";"auto"
"11";"alfa laval";"SE";"auto"
"12";"alibaba  holding";"CN";"auto"
"13";"alps electric";"JP";"auto"
"14";"ams";"AT";"auto"
"15";"andritz";"AT";"auto"
"16";"anritsu";"JP";"auto"
"17";"ansell healthcare";"AU";"auto"
"18";"asml";"NL";"auto"
"19";"audiocodes";"IL";"auto"
"20";"avl north america";"AT";"auto"
"21";"bae";"GB";"auto"
"22";"bae systems";"GB";"auto"
"23";"baidu";"CN";"auto"
"24";"ballard power systems";"CA";"auto"
"25";"bank of america";NA;"auto"
"26";"barco";"BE";"auto"
"27";"basf";"DE";"auto"
"28";"bayer";"DE";"auto"
"29";"bayer healthcare";"DE";"auto"
"30";"bayer medical care";"DE";"auto"
"31";"bayer pharmaceuticals";"DE";"auto"
"32";"beecham";"GB";"auto"
"33";"beiersdorf";"DE";"auto"
"34";"bentley laboratories";"GB";"auto"
"35";"bentley systems";"GB";"auto"
"36";"bg";"GB";"auto"
"37";"bic";"FR";"auto"
"38";"biovail";"CA";"auto"
"39";"boehringer ingelheim";"DE";"auto"
"40";"boehringer ingelheim pharmaceuticals";"DE";"auto"
"41";"borealis technical";"AT";"auto"
"42";"braskem america";"BR";"auto"
"43";"braun";"DE";"auto"
"44";"bridgestone";"JP";"auto"
"45";"bt americas";"GB";"auto"
"46";"calsonic kansei north america";"JP";"auto"
"47";"cambridge";"GB";"auto"
"48";"canon";"JP";"auto"
"49";"cargill";"CA";"auto"
"50";"carl zeiss";"DE";"auto"
"51";"cas medical systems";"KR";"auto"
"52";"ciba specialty chemicals";"CH";"auto"
"53";"clariant";"CH";"auto"
"54";"comau";"IT";"auto"
"55";"compugen";"IL";"auto"
"56";"continental";"TW";"auto"
"57";"continental automotive systems";"TW";"auto"
"58";"convatec";"GB";"auto"
"59";"covestro";"DE";"auto"
"60";"cpc";"TW";"auto"
"61";"danieli";"IT";"auto"
"62";"dassault systemes americas";"FR";"auto"
"63";"denso";"JP";"auto"
"64";"denso  america";"JP";"auto"
"65";"dominion voting systems";"CA";"auto"
"66";"dr reddy s laboratories";"IN";"auto"
"67";"dsm solutions";"NL";"auto"
"68";"durr";"DE";"auto"
"69";"durr systems";"DE";"auto"
"70";"dürr systems";"DE";"auto"
"71";"ebara";"JP";"auto"
"72";"eisai";"JP";"auto"
"73";"electrolux";"SE";"auto"
"74";"elekta";"SE";"auto"
"75";"ergon";NA;"auto"
"76";"ericsson";"SE";"auto"
"77";"fanuc";"JP";"auto"
"78";"fanuc america";"JP";"auto"
"79";"festo";"DE";"auto"
"80";"fiskars";"FI";"auto"
"81";"fisons";"GB";"auto"
"82";"food";NA;"auto"
"83";"food equipment";NA;"auto"
"84";"formosa plastics";"TW";"auto"
"85";"foxconn";"TW";"auto"
"86";"framatome";"FR";"auto"
"87";"fresenius";"DE";"auto"
"88";"fresenius medical care";"DE";"auto"
"89";"fujifilm medical systems";"JP";"auto"
"90";"fujifilm north america";"JP";"auto"
"91";"fujitsu";"JP";"auto"
"92";"furukawa electric north america";"JP";"auto"
"93";"ge energy";"GB";"auto"
"94";"ge medical  services";"GB";"auto"
"95";"ge medical systems";"GB";"auto"
"96";"gilat satellite networks";"IL";"auto"
"97";"givaudan";"CH";"auto"
"98";"glaxo";"GB";"auto"
"99";"glaxo wellcome";"GB";"auto"
"100";"glaxosmithkline";"GB";"auto"
"101";"gpc biotech";"DE";"auto"
"102";"gs";"KR";"auto"
"103";"hamilton";"CH";"auto"
"104";"hamilton associates";"CH";"auto"
