organization,country_firm
Air Algérie,Algeria
Air Express Algeria,Algeria
Algerian Petroleum Institute,Algeria
Algérie Ferries,Algeria
Antinea Airlines,Algeria
Asmidal,Algeria
Cevital,Algeria
Djezzy,Algeria
Echourouk,Algeria
El Khabar,Algeria
El Massa,Algeria
El Moudjahid,Algeria
El Watan,Algeria
Entreprise nationale de Radiodiffusion sonore (ENRS),Algeria
Hamoud Boualem,Algeria
Khalifa Airways,Algeria
Naftal,Algeria
National Company for Rail Transport (SNTF),Algeria
Public Establishment of Television,Algeria
Saidal,Algeria
SNVI,Algeria
Sonatrach,Algeria
Sonelgaz,Algeria
Star Aviation,Algeria
Tassili Airlines,Algeria
Vassalli Fabril,Argentina
Aero Boero,Argentina
Aero VIP,Argentina
AeroDreams,Argentina
Aerolíneas Argentinas,Argentina
Agrinar,Argentina
Al Este,Argentina
Aleph Producciones,Argentina
Alto Palermo S.A.,Argentina
Aluar,Argentina
Ámbito Financiero,Argentina
América 24,Argentina
América TV,Argentina
Argentina Sono Film,Argentina
Aroma Café,Argentina
ASA Aluminium Body,Argentina
Austral Líneas Aéreas,Argentina
Banco Credicoop,Argentina
Banco de la Nación Argentina,Argentina
Banco Macro,Argentina
Banco de la Ciudad de Buenos Aires,Argentina
BAPRO,Argentina
BD Cine,Argentina
Belgrano Cargas,Argentina
Bernardin,Argentina
Bersa,Argentina
Bridas Corporation,Argentina
Brukman factory,Argentina
Bunge y Born,Argentina
Canal 9,Argentina
Cerveza Quilmes,Argentina
Chincul,Argentina
Cicaré Helicópteros,Argentina
CITEDEF,Argentina
Clarín,Argentina
Clarín Group,Argentina
Córdoba Central Railway,Argentina
Cris Morena Group,Argentina
Discos Qualiton,Argentina
Editorial Atlántida,Argentina
Editorial Losada,Argentina
El sitio,Argentina
El Trece,Argentina
Enarsa,Argentina
Fábrica Argentina de Aviones,Argentina
FaSinPat,Argentina
Ferrobaires,Argentina
Ferrocarriles Argentinos,Argentina
Ferrocentral,Argentina
Ferroexpreso Pampeano,Argentina
Ferrosur Roca,Argentina
Ferrovías,Argentina
Grupo Arcor,Argentina
Grupo Financeiro Galícia,Argentina
Guacamole Films,Argentina
Havanna,Argentina
Hotel Bauen,Argentina
