"","organization","organization_cleaned","eq_firm","name_diff","match"
"1","ansell","ansell","ansell",0,1
"2","arnotts biscuits","arnotts biscuits","arnotts biscuits",0,1
"3","burns philp","burns philp","burns philp",0,1
"4","sigma","sigma","sigma",0,1
"5","telstra","telstra","telstra",0,1
"6","ams","ams","ams",0,1
"7","avl","avl","avl",0,1
"8","borealis","borealis","borealis",0,1
"9","julius blum","julius blum","julius blum",0,1
"10","lenzing","lenzing","lenzing",0,1
"11","palfinger","palfinger","palfinger",0,1
"12","semperit","semperit","semperit",0,1
"13","skidata","skidata","skidata",0,1
"14","steyr mannlicher holding","steyr mannlicher","steyr mannlicher",0,1
"15","zumtobel lighting","zumtobel lighting","zumtobel lighting",0,1
"16","janssen pharmaceutica","janssen pharmaceutica","janssen pharmaceutica",0,1
"17","materialise nv","materialise nv","materialise nv",0,1
"18","solvay","solvay","solvay",0,1
"19","ucb pharma","ucb","ucb",0,1
"20","umicore","umicore","umicore",0,1
"21","braskem","braskem","braskem",0,1
"22","ballard power systems","ballard power","ballard power",0,1
"23","biovail","biovail","biovail",0,1
"24","cameco","cameco","cameco",0,1
"25","canadian national railway","canadian national railway","canadian national railway",0,1
"26","cascades","cascades","cascades",0,1
"27","cognos","cognos","cognos",0,1
"28","corel","corel","corel",0,1
"29","domtar","domtar","domtar",0,1
"30","enwave","enwave","enwave",0,1
"31","ganz","ganz","ganz",0,1
"32","hatch","hatch","hatch",0,1
"33","imax","imax","imax",0,1
"34","lee valley tools","lee valley tools","lee valley tools",0,1
"35","macdonald dettwiler and associates","macdonald dettwiler and","macdonald dettwiler and",0,1
"36","mitel","mitel","mitel",0,1
"37","opentext","opentext","opentext",0,1
"38","prairie plant systems","prairie plant","prairie plant",0,1
"39","precision drilling","precision drilling","precision drilling",0,1
"40","valeant pharmaceuticals","valeant","valeant",0,1
"41","founder","founder","founder",0,1
"42","huawei","huawei","huawei",0,1
"43","neusoft","neusoft","neusoft",0,1
"44","opple lighting","opple lighting","opple lighting",0,1
"45","tcl communication","tcl","tcl",0,1
"46","xiaomi","xiaomi","xiaomi",0,1
"47","novo nordisk","novo nordisk","novo nordisk",0,1
"48","nokia","nokia","nokia",0,1
"49","valmet","valmet","valmet",0,1
"50","airbus operations","airbus","airbus",0,1
"51","alstom","alstom","alstom",0,1
"52","atos services","atos","atos",0,1
"53","bnp paribas","bnp paribas","bnp paribas",0,1
"54","canal","canal","canal",0,1
"55","cartier","cartier","cartier",0,1
"56","dassault systèmes","dassault systemes","dassault systemes",0,1
"57","decathlon","decathlon","decathlon",0,1
"58","framatome","framatome","framatome",0,1
"59","genset","genset","genset",0,1
"60","hutchinson","hutchinson","hutchinson",0,1
"61","jcdecaux","jcdecaux","jcdecaux",0,1
"62","lafuma","lafuma","lafuma",0,1
"63","loreal","loreal","loreal",0,1
"64","matra","matra","matra",0,1
"65","mavic","mavic","mavic",0,1
"66","naval","naval","naval",0,1
"67","parrot","parrot","parrot",0,1
"68","rhodia operations","rhodia","rhodia",0,1
"69","safran","safran","safran",0,1
"70","sagem","sagem","sagem",0,1
"71","salomon","salomon","salomon",0,1
"72","schneider electric","schneider electric","schneider electric",0,1
"73","snecma","snecma","snecma",0,1
"74","bic","bic","bic",0,1
"75","sodexo","sodexo","sodexo",0,1
"76","technicolor licensing","technicolor","technicolor",0,1
"77","technip","technip","technip",0,1
"78","thales","thales","thales",0,1
"79","total","total","total",0,1
"80","adidas","adidas","adidas",0,1
"81","aeg","aeg","aeg",0,1
"82","altana pharma","altana","altana",0,1
"83","arcor","arcor","arcor",0,1
"84","audi","audi","audi",0,1
"85","august storck kg","august storck","august storck",0,1
"86","basf","basf","basf",0,1
"87","bayer","bayer","bayer",0,1
"88","beiersdorf","beiersdorf","beiersdorf",0,1
"89","bmw","bmw","bmw",0,1
"90","boehringer ingelheim","boehringer ingelheim","boehringer ingelheim",0,1
"91","braun","braun","braun",0,1
"92","carl zeiss","carl zeiss","carl zeiss",0,1
"93","continental","continental","continental",0,1
"94","daimler","daimler","daimler",0,1
"95","deutsche börse","deutsche borse","deutsche borse",0,1
"96","deutsche telekom","deutsche telekom","deutsche telekom",0,1
"97","dräger medical","drager","drager",0,1
"98","dürr systems","durr","durr",0,1
"99","elringklinger","elringklinger","elringklinger",0,1
"100","epcos","epcos","epcos",0,1
"101","festo","festo","festo",0,1
"102","fresenius","fresenius","fresenius",0,1
"103","gea","gea","gea",0,1
"104","gfk","gfk","gfk",0,1
"105","heidelberger druckmaschinen","heidelberger druckmaschinen","heidelberger druckmaschinen",0,1
"106","heinkel","heinkel","heinkel",0,1
"107","henkel","henkel","henkel",0,1
"108","heraeus holding","heraeus","heraeus",0,1
"109","herrenknecht","herrenknecht","herrenknecht",0,1
"110","hoechst","hoechst","hoechst",0,1
"111","hoesch","hoesch","hoesch",0,1
"112","iav","iav","iav",0,1
"113","j schmalz","j schmalz","j schmalz",0,1
"114","körber","korber","korber",0,1
"115","kraussmaffei","kraussmaffei","kraussmaffei",0,1
"116","krones","krones","krones",0,1
"117","kuka systems","kuka","kuka",0,1
"118","magix","magix","magix",0,1
"119","mahle","mahle","mahle",0,1
"120","man","man","man",0,1
"121","mannesmann","mannesmann","mannesmann",0,1
"122","merck","merck","merck",0,1
"123","metro systems","metro","metro",0,1
"124","miele","miele","miele",0,1
"125","philipp holzmann","philipp holzmann","philipp holzmann",0,1
"126","porsche","porsche","porsche",0,1
"127","puma","puma","puma",0,1
"128","recaro","recaro","recaro",0,1
"129","rheinmetall","rheinmetall","rheinmetall",0,1
"130","robert bosch","robert bosch","robert bosch",0,1
"131","rwe","rwe","rwe",0,1
"132","saba","saba","saba",0,1
"133","schaeffler kg","schaeffler","schaeffler",0,1
"134","schering","schering","schering",0,1
"135","schott","schott","schott",0,1
"136","seca","seca","seca",0,1
