"organization";"organization_cleaned";"eq_firm";"name_diff";"match";"classified"
"ansell";"ansell";"ansell";0;1;"auto"
"arnotts biscuits";"arnotts biscuits";"arnotts biscuits";0;1;"auto"
"burns philp";"burns philp";"burns philp";0;1;"auto"
"sigma";"sigma";"sigma";0;1;"auto"
"telstra";"telstra";"telstra";0;1;"auto"
"ams";"ams";"ams";0;1;"auto"
"avl";"avl";"avl";0;1;"auto"
"borealis";"borealis";"borealis";0;1;"auto"
"julius blum";"julius blum";"julius blum";0;1;"auto"
"lenzing";"lenzing";"lenzing";0;1;"auto"
"palfinger";"palfinger";"palfinger";0;1;"auto"
"semperit";"semperit";"semperit";0;1;"auto"
"skidata";"skidata";"skidata";0;1;"auto"
"steyr mannlicher holding";"steyr mannlicher";"steyr mannlicher";0;1;"auto"
"zumtobel lighting";"zumtobel lighting";"zumtobel lighting";0;1;"auto"
"janssen pharmaceutica";"janssen pharmaceutica";"janssen pharmaceutica";0;1;"auto"
"materialise nv";"materialise nv";"materialise nv";0;1;"auto"
"solvay";"solvay";"solvay";0;1;"auto"
"ucb pharma";"ucb";"ucb";0;1;"auto"
"umicore";"umicore";"umicore";0;1;"auto"
"braskem";"braskem";"braskem";0;1;"auto"
"ballard power systems";"ballard power";"ballard power";0;1;"auto"
"biovail";"biovail";"biovail";0;1;"auto"
"cameco";"cameco";"cameco";0;1;"auto"
"canadian national railway";"canadian national railway";"canadian national railway";0;1;"auto"
"cascades";"cascades";"cascades";0;1;"auto"
"cognos";"cognos";"cognos";0;1;"auto"
"corel";"corel";"corel";0;1;"auto"
"domtar";"domtar";"domtar";0;1;"auto"
"enwave";"enwave";"enwave";0;1;"auto"
"ganz";"ganz";"ganz";0;1;"auto"
"hatch";"hatch";"hatch";0;1;"auto"
"imax";"imax";"imax";0;1;"auto"
"lee valley tools";"lee valley tools";"lee valley tools";0;1;"auto"
"macdonald dettwiler and associates";"macdonald dettwiler and";"macdonald dettwiler and";0;1;"auto"
"mitel";"mitel";"mitel";0;1;"auto"
"opentext";"opentext";"opentext";0;1;"auto"
"prairie plant systems";"prairie plant";"prairie plant";0;1;"auto"
"precision drilling";"precision drilling";"precision drilling";0;1;"auto"
"valeant pharmaceuticals";"valeant";"valeant";0;1;"auto"
"founder";"founder";"founder";0;1;"auto"
"huawei";"huawei";"huawei";0;1;"auto"
"neusoft";"neusoft";"neusoft";0;1;"auto"
"opple lighting";"opple lighting";"opple lighting";0;1;"auto"
"tcl communication";"tcl";"tcl";0;1;"auto"
"xiaomi";"xiaomi";"xiaomi";0;1;"auto"
"novo nordisk";"novo nordisk";"novo nordisk";0;1;"auto"
"nokia";"nokia";"nokia";0;1;"auto"
"valmet";"valmet";"valmet";0;1;"auto"
"airbus operations";"airbus";"airbus";0;1;"auto"
"alstom";"alstom";"alstom";0;1;"auto"
"atos services";"atos";"atos";0;1;"auto"
"bnp paribas";"bnp paribas";"bnp paribas";0;1;"auto"
"canal";"canal";"canal";0;1;"auto"
"cartier";"cartier";"cartier";0;1;"auto"
"dassault systèmes";"dassault systemes";"dassault systemes";0;1;"auto"
"decathlon";"decathlon";"decathlon";0;1;"auto"
"framatome";"framatome";"framatome";0;1;"auto"
"genset";"genset";"genset";0;1;"auto"
"hutchinson";"hutchinson";"hutchinson";0;1;"auto"
"jcdecaux";"jcdecaux";"jcdecaux";0;1;"auto"
"lafuma";"lafuma";"lafuma";0;1;"auto"
"loreal";"loreal";"loreal";0;1;"auto"
"matra";"matra";"matra";0;1;"auto"
"mavic";"mavic";"mavic";0;1;"auto"
"naval";"naval";"naval";0;1;"auto"
"parrot";"parrot";"parrot";0;1;"auto"
