"","organization","IPC1_US","IPC2_US","IPC3_US","organization_cleaned","pot_parent","pot_parent_country","IPC1","IPC2","IPC3","pot_parent_cleaned","name_diff_lv","name_diff_osa","name_diff_dl","name_diff_cosine","name_diff_jw","name_diff_jac","match"
"1","abas","G01L","G01D","B25B","abas","abb","SE","H01F","H02J","G01R","abb",2,2,2,0.269703256659779,0.277777777777778,0.333333333333333,NA
"2","abb","H01F","G05B","G01N","abb","abb","SE","H01F","H02J","G01R","abb",0,0,0,0,0,0,1
"3","abb automation","G05B","G06F","H04L","abb","abb","SE","H01F","H02J","G01R","abb",0,0,0,0,0,0,1
"4","abb industrial systems","G01N","G01B","D21G","abb","abb","SE","H01F","H02J","G01R","abb",0,0,0,0,0,0,1
"5","abbot laboratories","A61K","G01N","C07D","abbot","abb","SE","H01F","H02J","G01R","abb",2,2,2,0.154845745271484,0.133333333333333,0.5,NA
"6","abbott laboratories","A61K","C07D","G01N","abbott","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.292893218813453,0.166666666666667,0.5,NA
"7","abbvie","A61K","C07D","C07K","abbvie","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.209430584957905,0.166666666666667,0.6,NA
"8","abc","E21F","E21D","F24F","abc","abb","SE","H01F","H02J","G01R","abb",1,1,1,0.225403330758517,0.222222222222222,0.333333333333333,NA
"9","abco","E04F","D06M","C08J","abco","abb","SE","H01F","H02J","G01R","abb",2,2,2,0.329179606750063,0.277777777777778,0.5,NA
"10","abcor","B01D","A61F","C08F","abcor","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.4,0.311111111111111,0.6,NA
"11","abela pharmaceuticals","A61K","A01N","A61M","abela","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.323876596217187,0.311111111111111,0.5,NA
"12","abex","F04B","F16D","B64F","abex","abb","SE","H01F","H02J","G01R","abb",2,2,2,0.329179606750063,0.277777777777778,0.5,NA
"13","abide therapeutics","C07D","A61K",NA,"abide","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.4,0.311111111111111,0.6,NA
"14","abm","D05B","C12Q","G07F","abm","abb","SE","H01F","H02J","G01R","abb",1,1,1,0.225403330758517,0.222222222222222,0.333333333333333,NA
"15","about","G06F","G06Q","H04N","about","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.4,0.311111111111111,0.6,NA
"16","abt","E03F","E01C","A63B","abt","abb","SE","H01F","H02J","G01R","abb",1,1,1,0.225403330758517,0.222222222222222,0.333333333333333,NA
"17","abt holding","A61K","C12N","C07K","abt","abb","SE","H01F","H02J","G01R","abb",1,1,1,0.225403330758517,0.222222222222222,0.333333333333333,NA
"18","abtox","A61L","H05H","G01N","abtox","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.4,0.311111111111111,0.6,NA
"19","abyrx","A61B","A61L","A61K","abyrx","abb","SE","H01F","H02J","G01R","abb",3,3,3,0.4,0.311111111111111,0.6,NA
"20","ab cwt","C10G","B09B","C10B","ab cwt","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.382786600151632,0.3,0.571428571428571,NA
"21","abas","G01L","G01D","B25B","abas","abcam","GB","C07K",NA,NA,"abcam",2,2,2,0.228483250189541,0.216666666666667,0.6,NA
"22","abb","H01F","G05B","G01N","abb","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.323876596217187,0.311111111111111,0.5,NA
"23","abb automation","G05B","G06F","H04L","abb","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.323876596217187,0.311111111111111,0.5,NA
"24","abb industrial systems","G01N","G01B","D21G","abb","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.323876596217187,0.311111111111111,0.5,NA
"25","abbot laboratories","A61K","G01N","C07D","abbot","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.428571428571429,0.4,0.666666666666667,NA
"26","abc","E21F","E21D","F24F","abc","abcam","GB","C07K",NA,NA,"abcam",2,2,2,0.12712843905603,0.133333333333333,0.25,NA
"27","abco","E04F","D06M","C08J","abco","abcam","GB","C07K",NA,NA,"abcam",2,2,2,0.244071053981546,0.216666666666667,0.4,NA
"28","abcor","B01D","A61F","C08F","abcor","abcam","GB","C07K",NA,NA,"abcam",2,2,2,0.323876596217187,0.266666666666667,0.5,NA
"29","abela pharmaceuticals","A61K","A01N","A61M","abela","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.285714285714286,0.266666666666667,0.666666666666667,NA
"30","abex","F04B","F16D","B64F","abex","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.433053290486159,0.366666666666667,0.666666666666667,NA
"31","abide therapeutics","C07D","A61K",NA,"abide","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.49290744716289,0.4,0.714285714285714,NA
"32","abm","D05B","C12Q","G07F","abm","abcam","GB","C07K",NA,NA,"abcam",2,2,2,0.12712843905603,0.311111111111111,0.25,NA
"33","about","G06F","G06Q","H04N","about","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.49290744716289,0.4,0.714285714285714,NA
"34","abrado","E21B",NA,NA,"abrado","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.331846895218939,0.3,0.714285714285714,NA
"35","abt","E03F","E01C","A63B","abt","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.345346329292023,0.311111111111111,0.6,NA
"36","abt holding","A61K","C12N","C07K","abt","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.345346329292023,0.311111111111111,0.6,NA
"37","abtox","A61L","H05H","G01N","abtox","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.49290744716289,0.4,0.714285714285714,NA
"38","abyrx","A61B","A61L","A61K","abyrx","abcam","GB","C07K",NA,NA,"abcam",3,3,3,0.49290744716289,0.4,0.714285714285714,NA
"39","achronix semiconductor","G06F","H03K","H04L","achronix","acerinox","ES","B07C","C21D","C22C","acerinox",3,3,3,0.125,0.130952380952381,0.222222222222222,NA
"40","acrison","G01G","B65G","B01F","acrison","acerinox","ES","B07C","C21D","C22C","acerinox",3,3,3,0.198216274262727,0.186507936507937,0.333333333333333,NA
"41","acceleron pharma","A61K","C07K","A61P","acceleron","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.215535459447264,0.194444444444445,0.333333333333333,NA
"42","acetylon pharmaceuticals","A61K","C07D","C12Q","acetylon","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.125,0.130952380952381,0.222222222222222,NA
"43","acheson","B05B","C10M","H05K","acheson","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.331846895218939,0.220238095238095,0.5,NA
"44","achillion pharmaceuticals","A61K","C07D","C07K","achillion","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.215535459447264,0.25,0.333333333333333,NA
"45","actel","H03K","H01L","G11C","actel","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.209430584957905,0.125,0.375,NA
"46","actifio","G06F","H04L",NA,"actifio","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.292893218813453,0.220238095238095,0.444444444444444,NA
"47","action","G06Q","A47C","F16L","action","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",2,2,2,0.133974596215561,0.0833333333333334,0.25,NA
"48","acton","A63C","G01J","B62K","acton","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.209430584957905,0.125,0.375,NA
"49","actron manufacturing","G01R","G07C","F02P","actron","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.278312163512968,0.180555555555556,0.444444444444444,NA
"50","aculon","B05D","H01L","C23C","aculon","actelion pharmaceuticals","CH","C07D","A61K","C07C","actelion",3,3,3,0.278312163512968,0.180555555555556,0.444444444444444,NA
"51","adagio medical","A61B",NA,NA,"adagio","adallom","IL","H04L",NA,NA,"adallom",3,3,3,0.360397850933169,0.253968253968254,0.571428571428571,NA
"52","adalis","B65H","B65D","C09J","adalis","adallom","IL","H04L",NA,NA,"adallom",3,3,3,0.253797492755364,0.253968253968254,0.571428571428571,NA
"53","adaytum","G06Q","G06F",NA,"adaytum","adallom","IL","H04L",NA,NA,"adallom",3,3,3,0.396977310844473,0.285714285714286,0.625,NA
"54","adolor","A61K","C07D","A61L","adolor","adallom","IL","H04L",NA,NA,"adallom",3,3,3,0.253797492755364,0.253968253968254,0.333333333333333,NA
"55","ada","G01N","A62C","B01D","ada","adam equipment",NA,NA,NA,NA,"adam",1,1,1,0.0871290708247231,0.0833333333333334,0.333333333333333,NA
"56","ada es","B01D","C10L","B01J","ada es","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.278312163512968,0.25,0.666666666666667,NA
"57","adac laboratories","G01T","A61B","G06T","adac","adam equipment",NA,NA,NA,NA,"adam",1,1,1,0.166666666666667,0.166666666666667,0.5,NA
"58","adagio medical","A61B",NA,NA,"adagio","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.278312163512968,0.25,0.666666666666667,NA
"59","adalis","B65H","B65D","C09J","adalis","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.278312163512968,0.25,0.666666666666667,NA
"60","adamas pharmaceuticals","A61K","C07C",NA,"adamas","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.0571909584179365,0.111111111111111,0.25,NA
"61","adamis pharmaceuticals","A61M","A61K","B01F","adamis","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.133974596215561,0.111111111111111,0.4,NA
"62","adapx","G06F","G06Q","H04N","adapx","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.228483250189541,0.216666666666667,0.6,NA
"63","adare pharmaceuticals","A61K",NA,NA,"adare","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.228483250189541,0.216666666666667,0.6,NA
"64","adaytum","G06Q","G06F",NA,"adaytum","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.183503419072274,0.273809523809524,0.5,NA
"65","adc","H01B","H01R","H04M","adc","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.292893218813452,0.277777777777778,0.5,NA
"66","adc telecommunications","G02B","H01R","H04W","adc","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.292893218813452,0.277777777777778,0.5,NA
"67","adco","C09J","C08G","B05C","adco","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.387627564304205,0.333333333333333,0.6,NA
"68","adcor","B67C","F41A","B65B","adcor","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.452277442494834,0.366666666666667,0.666666666666667,NA
"69","addex","B29C","B65H",NA,"addex","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.382786600151632,0.366666666666667,0.6,NA
"70","ade","B65D","H01L","G01B","ade","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.292893218813452,0.277777777777778,0.5,NA
"71","ade optical systems","G01N","H01L","G06K","ade","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.292893218813452,0.277777777777778,0.5,NA
"72","ademco","F24F","G05B","G08B","ademco","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.333333333333333,0.25,0.5,NA
"73","adept","B25J","G05B","G06Q","adept","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.452277442494834,0.366666666666667,0.666666666666667,NA
"74","adimab","A61K","C07K","A61P","adimab","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.133974596215561,0.194444444444445,0.4,NA
"75","adlast","G06F",NA,NA,"adlast","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.278312163512968,0.25,0.666666666666667,NA
"76","adler  associates","G06F","H03H","A61B","adler","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.452277442494834,0.366666666666667,0.666666666666667,NA
"77","adobe","G06F","G06T","G06Q","adobe","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.452277442494834,0.366666666666667,0.666666666666667,NA
"78","adobe systems","G06F","G06T","H04L","adobe","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.452277442494834,0.366666666666667,0.666666666666667,NA
"79","adp","G06F","H04L","G06Q","adp","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.292893218813452,0.277777777777778,0.5,NA
"80","adrea","G09G","G06F","G02F","adrea","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.228483250189541,0.366666666666667,0.6,NA
"81","adria laboratories","A61K","C07C","C08F","adria","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.228483250189541,0.366666666666667,0.6,NA
"82","adt","G08B","G06F","G06Q","adt","adam equipment",NA,NA,NA,NA,"adam",2,2,2,0.292893218813452,0.277777777777778,0.5,NA
"83","adtran","H04L","H04B","H04M","adtran","adam equipment",NA,NA,NA,NA,"adam",3,3,3,0.278312163512968,0.25,0.666666666666667,NA
"84","ada","G01N","A62C","B01D","ada","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.0561201925514611,0.133333333333333,0.333333333333333,NA
"85","ada es","B01D","C10L","B01J","ada es","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.253797492755364,0.3,0.666666666666667,NA
"86","adac laboratories","G01T","A61B","G06T","adac","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.138359563144671,0.216666666666667,0.5,NA
"87","adagio medical","A61B",NA,NA,"adagio","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.253797492755364,0.3,0.666666666666667,NA
"88","adalis","B65H","B65D","C09J","adalis","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.253797492755364,0.3,0.666666666666667,NA
"89","adamas pharmaceuticals","A61K","C07C",NA,"adamas","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.129611720221511,0.177777777777778,0.6,NA
"90","adamis pharmaceuticals","A61M","A61K","B01F","adamis","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.253797492755364,0.3,0.666666666666667,NA
"91","adap tv","H04N","G06Q",NA,"adap tv","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.19596974779263,0.20952380952381,0.5,NA
"92","adaptec","G06F","H04L","G11B","adaptec","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.19596974779263,0.20952380952381,0.5,NA
"93","adaptiv","G01S","F16M","B62J","adaptiv","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.19596974779263,0.20952380952381,0.5,NA
"94","adaptix","H04L","H04W","H01Q","adaptix","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.19596974779263,0.20952380952381,0.5,NA
"95","adapx","G06F","G06Q","H04N","adapx","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.202275964782534,0.266666666666667,0.6,NA
"96","adare pharmaceuticals","A61K",NA,NA,"adare","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.202275964782534,0.266666666666667,0.6,NA
"97","adaytum","G06Q","G06F",NA,"adaytum","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.19596974779263,0.20952380952381,0.5,NA
"98","adc","H01B","H01R","H04M","adc","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.303689376177209,0.311111111111111,0.5,NA
"99","adc telecommunications","G02B","H01R","H04W","adc","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.303689376177209,0.311111111111111,0.5,NA
"100","adco","C09J","C08G","B05C","adco","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.396977310844473,0.366666666666667,0.6,NA
"101","adcor","B67C","F41A","B65B","adcor","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.460640110029406,0.4,0.666666666666667,NA
"102","addex","B29C","B65H",NA,"addex","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.43019711770181,0.4,0.6,NA
"103","ade","B65D","H01L","G01B","ade","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.303689376177209,0.311111111111111,0.5,NA
"104","ade optical systems","G01N","H01L","G06K","ade","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.303689376177209,0.311111111111111,0.5,NA
"105","adept","B25J","G05B","G06Q","adept","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.325800137536758,0.266666666666667,0.4,NA
"106","adesto","G11C","H01L","G06F","adesto","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.384542545103336,0.3,0.5,NA
"107","adimab","A61K","C07K","A61P","adimab","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.253797492755364,0.3,0.666666666666667,NA
"108","aditazz","G06F","E04B","E04H","aditazz","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.272727272727273,0.292857142857143,0.4,NA
"109","adlast","G06F",NA,NA,"adlast","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.147197134577558,0.177777777777778,0.4,NA
"110","adler  associates","G06F","H03H","A61B","adler","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.460640110029406,0.4,0.666666666666667,NA
"111","adobe","G06F","G06T","G06Q","adobe","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.460640110029406,0.4,0.666666666666667,NA
"112","adobe systems","G06F","G06T","H04L","adobe","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.460640110029406,0.4,0.666666666666667,NA
"113","adp","G06F","H04L","G06Q","adp","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.303689376177209,0.311111111111111,0.5,NA
"114","adrea","G09G","G06F","G02F","adrea","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.202275964782534,0.266666666666667,0.6,NA
"115","adrena","G01N","B01J","H01G","adrena","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.253797492755364,0.3,0.666666666666667,NA
"116","adria laboratories","A61K","C07C","C08F","adria","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.202275964782534,0.266666666666667,0.6,NA
"117","adt","G08B","G06F","G06Q","adt","adata","TW","H01R","H05K","G06F","adata",2,2,2,0.129611720221511,0.133333333333333,0,NA
"118","adtran","H04L","H04B","H04M","adtran","adata","TW","H01R","H05K","G06F","adata",3,3,3,0.147197134577558,0.261111111111111,0.4,NA
"119","ada","G01N","A62C","B01D","ada","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.151471862576143,0.166666666666667,0.5,NA
"120","ada es","B01D","C10L","B01J","ada es","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.217376207875074,0.222222222222222,0.5,NA
"121","adac laboratories","G01T","A61B","G06T","adac","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.225403330758517,0.25,0.6,NA
"122","adalis","B65H","B65D","C09J","adalis","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.105572809000084,0.177777777777778,0.2,NA
"123","adamas pharmaceuticals","A61K","C07C",NA,"adamas","adidas","DE","A43B","A63B","A61B","adidas",2,2,2,0.178416163742251,0.222222222222222,0.4,NA
"124","adamis pharmaceuticals","A61M","A61K","B01F","adamis","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.105572809000084,0.177777777777778,0.2,NA
"125","addex","B29C","B65H",NA,"addex","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.282862834399364,0.3,0.666666666666667,NA
"126","aderis pharmaceuticals","A61K","C07D",NA,"aderis","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.225403330758517,0.222222222222222,0.333333333333333,NA
"127","adicep","F16F","A61F","F16H","adicep","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.354502775632097,0.333333333333333,0.571428571428571,NA
"128","adimab","A61K","C07K","A61P","adimab","adidas","DE","A43B","A63B","A61B","adidas",2,2,2,0.217376207875074,0.222222222222222,0.5,NA
"129","aditazz","G06F","E04B","E04H","aditazz","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.332576187528085,0.253968253968254,0.5,NA
"130","adlast","G06F",NA,NA,"adlast","adidas","DE","A43B","A63B","A61B","adidas",3,3,3,0.217376207875074,0.222222222222222,0.5,NA
