"regio_tech","TechGroup","regio_inv","TimePeriod","onshored_patents","non_western_share","non_domestic_share","China_share","India_share","reg_label","TechGroup_No","weight_initial_patents","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","trend","anglo_saxon_share","N_inv_nonwestern","N_inv_non_domestic","N_inv_anglosaxon","N_inv_China","N_inv_India","N_inv_ChinaIndia"
"AK01","Audiovisual Technologies","Alaska","1991",0,9.55264342784167,33.3108535328193,1.44994291446875,5.10511895530416,"AK","01",NA,0.00157202665326632,41,0.357736465388865,0.439437073197864,0.00352428831063366,0.985163284040027,0.149944855463429,41.914892657207,3,66.6891464671807,3.91658380541509,13.6574499484559,27.3425500515441,0.594476594932189,2.0930987716747,2.68757536660689
"AK01","Audiovisual Technologies","Alaska","1994",0,5.88979618465885,32.8869959789661,0.0520554232123989,3.20233647328071,"AK","01",NA,0.00320354464534247,60,0.528798578085219,0.605815669350421,0.00625434848780267,1.18274684293776,0.218181365832284,41.2598246051113,4,67.1130040210338,3.53387771079531,19.7321975873797,40.2678024126203,0.0312332539274394,1.92140188396843,1.95263513789587
"AK01","Audiovisual Technologies","Alaska","1997",1,4.89554800699145,40.6488156578518,2.03089724645057,0.281279062888147,"AK","01",NA,0.00396786009444077,77,0.611807657203247,0.648546981673788,0.00748371728528067,1.22321406036187,0.259909601841322,42.4822407469441,5,59.3511843421482,3.76957196538341,31.2995880565459,45.7004119434541,1.56379087976694,0.216584878423873,1.78037575819081
"AK01","Audiovisual Technologies","Alaska","2000",1,6.77112592940177,32.7447944962025,1.75293081311551,2.48757721851136,"AK","01",NA,0.00454785610578724,151,0.640726329442283,0.709796975214973,0.00877694666267087,1.36984329492292,0.273874151122959,42.7443260153445,6,67.2552055037975,10.2244001533967,49.4446396892658,101.555360310734,2.64692552780442,3.75624159995215,6.40316712775657
"AK01","Audiovisual Technologies","Alaska","2009",29,10.3979877189198,35.0401733535875,2.82998391730962,5.21379624656899,"AK","01",NA,0.00616065829675008,72,0.535860114329634,1.14967659133524,0.0102072243351715,1.90483002227938,0.218695495564108,40.8120495845633,9,64.9598266464125,7.48655115762222,25.228924814583,46.771075185417,2.03758842046292,3.75393329752967,5.79152171799259
"AK01","Audiovisual Technologies","Alaska","2003",1,3.70654212675535,30.5336654717634,1.22292209569011,0.349179633620594,"AK","01",NA,0.00524340050749654,204,0.651534803285776,0.804776733499634,0.00970583477422537,1.48968784557288,0.271984780785134,41.7452420674198,7,69.4663345282366,7.56134593858092,62.2886775623974,141.711322437603,2.49476107520783,0.712326452586012,3.20708752779385
"AK01","Audiovisual Technologies","Alaska","2006",11,13.05904363392,43.4754375293541,4.32540659075988,6.15629379419579,"AK","01",NA,0.00550856157709665,117,0.569102176106067,0.967938941085684,0.00967619319942133,1.70025587771042,0.234112891435535,41.1372335697943,8,56.5245624706459,15.2790810516864,50.8662619093443,66.1337380906557,5.06072571118906,7.20286373920908,12.2635894503981
"AK01","Audiovisual Technologies","Alaska","2012",5,16.2752560115352,44.6826323265709,4.46755393113383,4.72170883520127,"AK","01",NA,0.00693934714115532,85,0.556516308786088,1.24692610649487,0.0114898488931294,2.06460236865148,0.227763489142826,40.9266513032906,10,55.3173676734291,13.833967609805,37.9802374775852,47.0197625224148,3.79742084146375,4.01345250992108,7.81087335138483
"AK01","Audiovisual Technologies","Alaska","2015",1,8.78914323435664,31.0607941261469,1.91379684962548,3.21953584370458,"AK","01",NA,0.00775732104115531,101,0.610894941634241,1.26982898571778,0.0133059207645006,2.17810295316984,0.246296038892293,40.3172496785473,11,68.9392058738531,8.87703466670021,31.3714020674083,69.6285979325917,1.93293481812174,3.25173120214163,5.18466602026336
"AK010","Machines & Mechanical Engineering","Alaska","2015",1,NA,NA,NA,NA,"AK","010",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
