"regio_inv","TechGroup","TimePeriod","regio_tech","onshored_patents","non_western_share","non_domestic_share","China_share","India_share","reg_label","TechGroup_No","N_patents_state","N_patents_TechGroup","weight_initial_patents","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","trend","anglo_saxon_share","N_inv_nonwestern","N_inv_non_domestic","N_inv_anglosaxon","N_inv_China","N_inv_India","N_inv_ChinaIndia","onshored_patents_exclsubsidiaries","onshored_patents_notaxhavens","onshored_patents_twoinv","onshored_patents_worldclass","onshored_patents_excldejp","N_inv_nonwestern_classification","imputed_N_inv_nonwestern_classification","N_offshoring_firms"
"Alabama","Audiovisual Technologies",1994,"AL01",2,NA,NA,NA,NA,"AL",1,217,8932,2.18078726420238e-05,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,0,NA,NA,2
"Alabama","Audiovisual Technologies",1997,"AL01",1,3.16053440773076,15.9968883112789,0.0345928666813555,2.5394586492497,"AL",1,363,13475,2.18078726420238e-05,0.164138357498992,47,32.7317096603737,0.501465884923524,0.728940214458028,2.2270153988947,23.4623439096146,71.6807773045201,5,84.0031116887211,1.48545117163346,7.51853750630107,39.4814624936989,0.0162586473402371,1.19354556514736,1.2098042124876,0,1,1,1,0,1,0.31283422459893,1
"Alabama","Audiovisual Technologies",2000,"AL01",1,2.54495318474556,18.3622644496701,0.0239774779183976,0.791440096301293,"AL",1,376,15730,2.18078726420238e-05,0.189470556734247,49,34.2788586251621,0.552732979840722,0.839968640264924,2.45039850786733,24.722940114862,72.1229968162193,6,81.6377355503299,1.24702706052533,8.99750958033837,40.0024904196616,0.0117489641800148,0.387805647187633,0.399554611367648,1,1,1,0,1,1,0.366310160427808,2
"Alabama","Audiovisual Technologies",2003,"AL01",0,4.45226446795785,20.4086394522437,0.0680515285648129,1.76757083830389,"AL",1,433,15781,2.18078726420238e-05,0.218548257434523,76,34.857111975789,0.62698326122463,0.910029381102682,2.61074234071592,24.5523844434877,70.4372308886096,7,79.5913605477563,3.38372099564796,15.5105659837052,60.4894340162948,0.0517191617092578,1.34335383711095,1.39507299882021,0,0,0,0,0,3,0.358288770053476,0
"Alabama","Audiovisual Technologies",2006,"AL01",0,2.5416500730688,24.4510710346586,0.0158323739876726,0.19800103091334,"AL",1,410,14645,2.18078726420238e-05,0.2334504275348,44,30.4469664216746,0.766744457564782,0.878005650912996,2.88372128360204,21.1336446734593,69.4113311019868,8,75.5489289653414,1.11832603215027,10.7584712552498,33.2415287447502,0.00696624455457595,0.0871204536018695,0.0940866981564454,0,0,0,0,0,1,0.347593582887701,0
"Alabama","Audiovisual Technologies",2012,"AL01",2,5.79774392895042,18.2259237052252,0.104126329411353,0.856785046344157,"AL",1,366,14601,2.18078726420238e-05,0.281614684012317,30,29.7736225200557,0.945852940207796,0.995518294537243,3.34362502872015,20.5604766982993,69.0560132024568,10,81.7740762947748,1.73932317868513,5.46777711156756,24.5322228884324,0.0312378988234059,0.257035513903247,0.288273412726653,2,2,2,0,2,1,0.403743315508021,1
"Alabama","Chemistry & Materials",1980,"AL04",2,NA,NA,NA,NA,"AL",4,132,32850,0.000479773198124523,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,1,NA,NA,1
"Alabama","Chemistry & Materials",1988,"AL04",1,NA,NA,NA,NA,"AL",4,142,19761,0.000479773198124523,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,NA,NA,1
"Alabama","Chemistry & Materials",1991,"AL04",2,NA,NA,NA,NA,"AL",4,200,17903,0.000479773198124523,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,0,NA,NA,2
"Alabama","Chemistry & Materials",1994,"AL04",2,NA,NA,NA,NA,"AL",4,217,20883,0.000479773198124523,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,NA,NA,2
