"TechGroup","regio_inv","TimePeriod","non_western_share","onshored_patents","reg_label","TechGroup_No","regio_tech","N_patents_TechGroup","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","N_inv_nonwestern"
"Audiovisual Technologies","California","1985",13.1986266093836,36,"CA","03","CA03",8337,23.7876849070361,655,313.43517317577,7.58934763639188,46.1411607286237,14.7211176911369,172.611764907868,55.0709619341508,86.4510042914625
"Audiovisual Technologies","California","1995",24.3950093530703,194,"CA","03","CA03",23894,194.76414113006,1135,2715.59830907431,7.17205267359483,348.054061700422,12.816846311083,1452.90419495148,53.5021763011312,276.883356157348
"Audiovisual Technologies","Michigan","1990",5.34741554471292,3,"MI","03","MI03",13127,30.7475400405543,511,791.239707931018,3.88599557534275,53.9277246491856,6.8155988771341,456.130581355882,57.6475847690455,27.325293433483
"Audiovisual Technologies","South Dakota","1990",0.449653109236729,0,"SD","03","SD03",13127,0.0045222050418569,34,2.58293702262574,0.175079957515176,0.0291679958638333,1.12925695084048,1.37233149065063,53.1306601217694,0.152882057140488
"Audiovisual Technologies","New Jersey","2000",10.9977589609724,156,"NJ","03","NJ03",26163,164.916842617528,728,1619.7924773022,10.1813562495487,252.067287402715,15.5617025597339,824.045520232575,50.8735243421453,80.0636852358793
"Audiovisual Technologies","Michigan","1985",9.21234195510889,3,"MI","03","MI03",8337,5.4263382671788,35,109.836768026132,4.94036593091283,10.0475669803839,9.14772635880309,66.7038167791526,60.7299522535863,3.22431968428811
"Audiovisual Technologies","Florida","1980",3.85225604058295,1,"FL","03","FL03",8904,0.976302920928639,44,39.7680501513186,2.4549931847646,1.87846064328665,4.72354223085881,24.5470690373117,61.7256037042534,1.6949926578565
"Audiovisual Technologies","Michigan","1980",NA,5,"MI","03","MI03",8904,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Audiovisual Technologies","South Dakota","1995",2.94972597696369,2,"SD","03","SD03",23894,0.00712774312381855,75,3.10649949560455,0.229446138134055,0.0390082483457696,1.25569788119918,1.68922347449192,54.3770722281474,2.21229448272277
"Audiovisual Technologies","Missouri","2005",7.8478606141505,8,"MO","03","MO03",23322,17.9887610010112,242,202.469976461546,8.88465604401732,27.965975065339,13.8124059448638,112.616600895376,55.6213829148957,18.9918226862442
"Audiovisual Technologies","Missouri","2010",9.90628704713363,9,"MO","03","MO03",30080,24.4985783686118,326,259.749003218523,9.43163518052137,37.8000899067346,14.5525447406371,143.549233633544,55.2645946105047,32.2944957736556
"Audiovisual Technologies","Florida","1985",3.41837201688375,0,"FL","03","FL03",8337,1.87720566777854,52,51.4523706585963,3.64843377234146,3.8217723081112,7.42778662905532,30.4499011081126,59.1807543915865,1.77755344877955
"Audiovisual Technologies","Massachusetts","2010",15.0416847871339,81,"MA","03","MA03",30080,85.4631948306897,885,1005.1410866119,8.50260684485261,153.472603645906,15.2687623349699,503.715039491292,50.113864232652,133.118910366135
"Audiovisual Technologies","New Jersey","1995",11.2850640257624,73,"NJ","03","NJ03",23894,137.324686235487,842,1577.06624393525,8.70760418362779,215.041082564181,13.6355136248171,808.489944255572,51.2654396963155,95.0202390969197
"Audiovisual Technologies","California","1990",17.9355221308495,86,"CA","03","CA03",13127,124.504701475225,889,2257.91744727867,5.51413877532518,236.855992586184,10.4900200346852,1180.34482100127,52.2758182511885,159.446791743252
"Audiovisual Technologies","Massachusetts","2000",11.8144112687728,81,"MA","03","MA03",26163,52.4231218900589,892,915.719844357977,5.72479915260692,103.728292463315,11.3275138790992,475.556985411698,51.9325848775415,105.384548517453
